SE,drugA,drugB
C0020649,ampicillin,fentanyl
C0398353,sevoflurane,aminophylline
C0002871,linezolid,ertapenem
C0020649,naproxen,ribavirin
C0002871,spironolactone,medroxyprogesterone
C0020649,orphenadrine,tamoxifen
C0020649,rofecoxib,triazolam
C0002871,propranolol,olmesartan medoxomil
C0020649,temazepam,trimipramine
C0002871,clonazepam,rifampicin
C0002871,mitoxantrone,capecitabine
C0015672,cytosine arabinoside,zidovudine
C0015967,calcipotriol,etodolac
C0032285,folate,aripiprazole
C0020649,gabapentin,misoprostol
C0002871,methocarbamol,prochlorperazine
C0020649,doxycycline,dofetilide
C0020649,ketoconazole,leuprolide acetate
C0020649,triazolam,simvastatin
C0002871,amiodarone,nadolol
C0013404,cyclophosphamide,fentanyl
C0013404,midazolam,allopurinol
C0002871,cyclophosphamide,fexofenadine
C0020649,epinephrine,cefazolin
C0027497,acetazolamide,warfarin
C0020649,progesterone,allopurinol
C0020649,timolol,sucralfate
C0020649,lisinopril,cisplatin
C0020649,methylphenidate,tramadol
C0020649,imipramine,methotrexate
C0008033,leflunomide,nicardipine
C0020649,thyroxine,iloprost
C0020649,gabapentin,clobetasol
C0020649,imipramine,levetiracetam
C0020649,ketorolac,allopurinol
C0002871,docetaxel,misoprostol
C0020649,pentazocine,ramipril
C0020649,pentazocine,ranitidine
C0020649,quinapril,aliskiren
C0020649,estazolam,ipratropium bromide
C0020649,gabapentin,lithium
C0020649,amlodipine,fluoxetine
C0002871,moxifloxacin,valdecoxib
C0002871,midazolam,lactulose
C0002871,loratadine,nitrofurantoin
C0002871,ondansetron,bosentan
C0020649,cephalexin,allopurinol
C0020649,amphetamine,gabapentin
C0013404,loratadine,nitrazepam
C0020538,haloperidol,aripiprazole
C0013404,primidone,tiotropium
C0004093,verapamil,ibandronate
C0398353,verapamil,ziprasidone
C0002871,pravastatin,bosentan
C0002871,lorazepam,sulfasalazine
C0002871,tolbutamide,simvastatin
C0013404,quinapril,lenalidomide
C0022660,carboplatin,dacarbazine
C0398353,nifedipine,norfloxacin
C0013404,risedronate,erlotinib
C0004238,vecuronium,acarbose
C0042963,cytosine arabinoside,mercaptopurine
C0027497,oxycodone,telmisartan
C0002871,risedronate,venlafaxine
C0085649,risedronate,valsartan
C0003467,risedronate,vancomycin
C0020649,epinephrine,nitroglycerin
C0027497,carbamazepine,zafirlukast
C0027497,ceftazidime,enalapril
C0002871,irbesartan,minoxidil
C0002871,furosemide,tenofovir disoproxil fumarate
C0015672,cyclosporine,imiquimod
C0020649,diltiazem,isosorbide-5-mononitrate
C0032285,valacyclovir,mometasone
C0020649,fluoxetine,primidone
C0032285,calcium,bisoprolol
C0002871,diazepam,miconazole
C0013404,irinotecan,paclitaxel
C0002871,metronidazole,retinoic acid
C0002871,methylprednisolone,risedronate
C0020649,propranolol,montelukast
C0027497,quinidine,diltiazem
C0015672,carisoprodol,retinoic acid
C0020649,candesartan,carvedilol
C0020649,nortriptyline,orlistat
C0020649,prochlorperazine,megestrol
C0013404,cortisol,tolterodine
C0020649,carisoprodol,trazodone
C0002871,docetaxel,warfarin
C0032285,tiotropium,allopurinol
C0002871,nifedipine,rosiglitazone
C0027497,acyclovir,alfuzosin
C0020649,galactose,diltiazem
C0002871,itraconazole,allopurinol
C0032285,verapamil,etomidate
C0020649,estradiol,cetirizine
C0020649,pentazocine,promethazine
C0030193,cimetidine,clonazepam
C0020649,cimetidine,clonidine
C0002871,loratadine,vinorelbine
C0020649,cyclosporine,duloxetine
C0020649,cyclosporine,tiotropium
C0032285,temazepam,tranylcypromine
C0020649,hydroxyurea,irbesartan
C0020649,latanoprost,rosuvastatin
C0011991,alendronate,cinacalcet
C0008033,monamine,nortriptyline
C0020649,diazepam,nelfinavir
C0015672,imipramine,valacyclovir
C0020649,vitamin B12,olopatadine
C0020649,naproxen,prazosin
